LGSN	7.446116973
PTPRH	6.625251654
AFAP1-AS1	5.368556231
VPS9D1-AS1	5.090443971
NEK2	5.088842391
CTHRC1	4.910094889
PVT1	4.853871964
GALNT7	4.841637508
ASPM	4.806875402
ETV4	4.782516056
SALL4	4.764471553
HMGB3	4.761953897
XRCC2	4.747146969
CENPF	4.71219827
TOP2A	4.690369833
LUCAT1	4.690369833
FAM83A	4.671620397
KIF26B	4.661543506
CELSR3	4.642065153
MEX3A	4.634512015
POLQ	4.588380294
AK4	4.54668166
ERCC6L	4.525783736
COL11A1	4.521433504
IGSF9	4.504455662
XDH	4.468521083
ZYG11A	4.443697499
KIF14	4.416801226
LINC02362	4.41453927
PYCR1	4.412289035
ADAM12	4.364516253
STIL	4.36251027
EZH2	4.326058001
RGS17	4.325138859
E2F8	4.321481621
HS6ST2	4.30980392
GOLM1	4.289882635
SYT7	4.283162277
MMP11	4.277366077
ENTPD8	4.270025714
CPNE7	4.257274869
YBX2	4.254144805
CDKN2A	4.251037139
PPAT	4.249491605
UBE2T	4.237321436
SLC7A11	4.229884705
TUBB3	4.226213555
GREM1	4.210419288
CABYR	4.191789027
GPT2	4.163043263
NKX1-2	4.148741651
IGFL2	4.14327111
DEPDC1B	4.142064735
FAM83D	4.139063379
TRPM8	4.119186408
CDC25C	4.099632871
MYEOV	4.096910013
ANLN	4.091514981
PGM2L1	4.079876674
FOXD3-AS1	4.073143291
LGR4	4.069560405
PAEP	4.060980224
AGMAT	4.058985756
DEPDC1	4.052566278
FER1L4	4.04769199
NETO1	4.046240308
NUF2	4.04431225
DMBX1	4.039053804
MAD2L1	4.031517051
NEIL3	4.030118356
SLC2A1	4.025949097
POLE2	4.020451625
DNAJC22	3.995455087
BBOX1-AS1	3.989827297
KIF4A	3.96632298
IL31RA	3.962346453
DNA2	3.958634953
CENPE	3.958173237
SNHG1	3.948932415
HTR3A	3.948122329
SAPCD2	3.937098523
CCNB1	3.931387477
PAICS	3.931380061
FUT9	3.922217986
ITPKA	3.913362594
SLC24A2	3.90904749
CENPU	3.900457471
DLGAP5	3.88653129
STX1A	3.881593068
SPAG5	3.879541238
B4GALNT4	3.874538254
FRMD5	3.873375135
SALL1	3.870332661
ADM2	3.854632645
CDCA7	3.840054017
DLX6-AS1	3.821687946
BRIP1	3.812355213
HHIPL2	3.80450717
IQGAP3	3.798507287
KNTC1	3.796072778
DNAJC12	3.791437724
CKAP2L	3.787130849
GPC2	3.784613623
THBS2	3.777174319
AKR7A3	3.775910004
HAGLROS	3.775327116
LHX2	3.769571516
KIF11	3.768415734
PPP1R14D	3.767583335
ABCA12	3.765885309
GINS1	3.76093588
CENPI	3.758338984
GLB1L3	3.753186399
FBXO32	3.752355646
DLX1	3.741013315
CA9	3.738389835
ZIC2	3.720684466
C1orf61	3.720057148
VGF	3.718925706
CCNA2	3.716224021
TSHR	3.714226723
SP8	3.713876003
SLCO5A1	3.71348964
CENPK	3.712010266
KIF2C	3.711491438
COL10A1	3.709907487
DPYSL5	3.708615608
SALL3	3.706124993
RUNDC3A-AS1	3.703797865
TTK	3.700044039
TEDC2	3.696136809
LINC01116	3.68836903
FAM83A-AS1	3.686757263
BUB1B	3.686263509
HJURP	3.684149259
SNHG4	3.68047547
SPOCK1	3.678932076
TFAP2A	3.678658453
CRABP2	3.67745614
TTYH1	3.663678382
KNL1	3.662025881
HPDL	3.660461112
S100A2	3.656284259
CHEK1	3.652931616
LINC00665	3.648864911
CDC6	3.640640796
PLK1	3.639605415
RAB26	3.635222068
BARX1	3.6341621
TPX2	3.630160988
MELK	3.618789223
OR2B6	3.617873046
TNFRSF25	3.61689588
HIST1H2BD	3.612795322
HIST1H2AM	3.606595038
SULF1	3.601102126
NQO1	3.591378498
ORC6	3.589776318
LINC02535	3.587378197
EMC3-AS1	3.585268922
RECQL4	3.580306889
CGREF1	3.579349606
ONECUT1	3.577694202
RAD54L	3.577687633
KIF23	3.568088084
SGO1	3.566686295
UHRF1	3.559555358
LINC00942	3.555872415
LINC02474	3.554824076
MNX1-AS1	3.519849275
TROAP	3.517884235
STYK1	3.509496535
TMEM171	3.508530446
PHKA1	3.507139079
SYT12	3.506698128
CDC20	3.504606929
COL22A1	3.503945354
LINC01977	3.502260609
LINC01395	3.500385764
HIST1H2AI	3.499025687
GLYATL2	3.497679418
HIST1H2AD	3.486100853
ADAMTS14	3.484554041
AKR1B10	3.483816435
B4GALNT1	3.479907049
VAC14-AS1	3.472643391
PRB3	3.472261861
SOX14	3.465442145
FEZF1-AS1	3.464791988
ARHGEF39	3.463338046
CDCA3	3.463170208
STEAP1	3.455474326
CXCL13	3.45247881
LINC00461	3.452199459
UBE2C	3.448844104
FCRL5	3.432607757
TMEM156	3.432496055
GJB2	3.430187335
CDCA8	3.418943958
CST1	3.415420032
VIL1	3.415032503
NDC80	3.411653209
HOXB9	3.411336204
RDM1	3.410871757
ANKRD36BP2	3.404838998
HMMR	3.396272267
EPHB1	3.392379869
ANKRD18A	3.389553844
EEF1A2	3.384142496
DLL3	3.382472322
IL20RB	3.380621757
C11orf86	3.380075416
FUT2	3.375072616
TSACC	3.373996521
PAX7	3.373153764
GPR87	3.369673845
RPSAP52	3.369570091
FAM155B	3.360429847
PSMD10P2	3.359041797
KLK6	3.357061872
PDK1	3.352971261
SKA3	3.350363382
HELLS	3.348542683
SYNGR3	3.346422832
AKR1B15	3.346289781
IGF2BP3	3.344469724
ECT2	3.344418849
LEP	3.341979059
KIF18B	3.340228272
CA6	3.339055825
HIST1H1C	3.336567648
TFF1	3.335803828
DNMT3B	3.330894273
GALNT9	3.328901244
TAF1D	3.328649401
EPHA10	3.323747309
SPTBN2	3.321147607
PTHLH	3.311320391
COCH	3.310278358
GABRA3	3.309258293
ANKS4B	3.306207121
DNAH14	3.30389185
BAGE2	3.300438889
NKAIN1	3.297737527
PLK4	3.294368886
P2RY6	3.294287633
CDCA2	3.293759436
GINS2	3.291879215
CCDC169	3.28350835
FERMT1	3.283443284
CEP55	3.274410126
AKR7L	3.269843785
E2F7	3.266927181
ANKRD36C	3.262046021
FHL2	3.257866635
C1QTNF6	3.257343984
HMGA2	3.256433796
RMI2	3.25530421
MCM4	3.254107381
CILP2	3.253852515
POLG2	3.25274438
GNGT1	3.252700082
PBK	3.25053269
RAB3B	3.250505628
CENPA	3.250476247
SFXN1	3.249139221
PPP1R14BP2	3.249061381
KIAA1549L	3.248857212
PSAT1	3.248847969
EXO1	3.248586932
SNHG3	3.242733823
LHX1	3.233949464
SPAG4	3.233538074
MKI67	3.22978665
HIST1H2BF	3.228327285
SLC2A5	3.227621076
MCM10	3.226905028
CILP	3.225890513
LINC01271	3.2252933
KCNH1	3.224973129
AIM2	3.224969484
ABCC2	3.224463822
ONECUT2	3.223173194
BIRC5	3.222849503
TCN1	3.222391957
BAIAP2L2	3.222160106
HIST1H4H	3.221666384
FANCI	3.217416308
BUB1	3.21502059
TWIST1	3.214464458
PLPP2	3.212299419
RHBG	3.211828092
LINC01270	3.208300932
FOXM1	3.202604337
EBF3	3.202249255
CCDC150	3.199861909
GCNT3	3.199472623
KHDC4	3.199410755
MAGEC2	3.196766235
MARCKSL1	3.19108581
FLVCR1	3.188926599
IGHG4	3.187714485
PRAME	3.18643569
FSD1	3.185704448
POU3F2	3.184761054
BCL2L10	3.184634803
ATP2A1	3.183655277
VMP1	3.183648648
POLR3G	3.182869142
PARPBP	3.179520051
LINC02014	3.179451113
OIP5	3.17802033
CRYBA2	3.178016404
NCAPG	3.177609598
HIST1H4C	3.174999297
UBE2QL1	3.173214703
SNORA23	3.17111657
PMAIP1	3.171103046
ATP10B	3.169825295
SNORA73B	3.16455359
ATAD5	3.158929112
PIF1	3.157413224
TPBG	3.155348272
FCRL2	3.153806439
RBFOX1	3.151794867
MAGEC1	3.150289516
KCNQ2	3.144680775
RHBDL1	3.14322883
MAST1	3.136390481
CCNB2	3.135110559
CDK1	3.132397
LINC02544	3.131783602
