"X","FacsMarker","Individual","InferredCellType","Organ","SamplingSite","Time"
"22028_6_17","CD45- GFP+ CD31-","1235","cancer associated fibroblast","skin","tumor","11 day"
"22028_6_19","CD45- GFP+ CD31-","1235","cancer associated fibroblast","skin","tumor","11 day"
"22028_6_193","CD45- GFP+ CD31-","1235","cancer associated fibroblast","skin","tumor","11 day"
"22028_6_195","CD45- GFP+ CD31-","1235","cancer associated fibroblast","skin","tumor","11 day"
"22028_6_197","CD45- GFP+ CD31-","1235","cancer associated fibroblast","skin","tumor","11 day"
"22028_6_199","CD45- GFP+ CD31-","1235","cancer associated fibroblast","skin","tumor","11 day"
"22028_6_201","CD45- GFP+ CD31-","1235","cancer associated fibroblast","skin","tumor","11 day"
"22028_6_203","CD45- GFP+ CD31-","1235","cancer associated fibroblast","skin","tumor","11 day"
"22028_6_205","CD45- GFP+ CD31-","1235","cancer associated fibroblast","skin","tumor","11 day"
"22028_6_207","CD45- GFP+ CD31-","1235","cancer associated fibroblast","skin","tumor","11 day"
"22028_6_209","CD45- GFP+ CD31-","1235","cancer associated fibroblast","skin","tumor","11 day"
"22028_6_21","CD45- GFP+ CD31-","1235","cancer associated fibroblast","skin","tumor","11 day"
"22028_6_211","CD45- GFP+ CD31-","1235","cancer associated fibroblast","skin","tumor","11 day"
"22028_6_213","CD45- GFP+ CD31-","1235","cancer associated fibroblast","skin","tumor","11 day"
"22028_6_215","CD45- GFP+ CD31-","1235","cancer associated fibroblast","skin","tumor","11 day"
"22028_6_23","CD45- GFP+ CD31-","1235","cancer associated fibroblast","skin","tumor","11 day"
"22028_6_241","CD45- GFP+ CD31-","1235","cancer associated fibroblast","skin","tumor","11 day"
"22028_6_243","CD45- GFP+ CD31-","1235","cancer associated fibroblast","skin","tumor","11 day"
"22028_6_245","CD45- GFP+ CD31-","1235","cancer associated fibroblast","skin","tumor","11 day"
"22028_6_247","CD45- GFP+ CD31-","1235","cancer associated fibroblast","skin","tumor","11 day"
"22028_6_249","CD45- GFP+ CD31-","1235","cancer associated fibroblast","skin","tumor","11 day"
"22028_6_251","CD45- GFP+ CD31-","1235","cancer associated fibroblast","skin","tumor","11 day"
"22028_6_253","CD45- GFP+ CD31-","1235","cancer associated fibroblast","skin","tumor","11 day"
"22028_6_255","CD45- GFP+ CD31-","1235","cancer associated fibroblast","skin","tumor","11 day"
"22028_6_259","CD45- GFP+ CD31-","1235","cancer associated fibroblast","skin","tumor","11 day"
"22028_6_261","CD45- GFP+ CD31-","1235","cancer associated fibroblast","skin","tumor","11 day"
"22028_6_289","CD45- GFP+ CD31-","1235","cancer associated fibroblast","skin","tumor","11 day"
"22028_6_291","CD45- GFP+ CD31-","1235","cancer associated fibroblast","skin","tumor","11 day"
"22028_6_297","CD45- GFP+ CD31-","1235","cancer associated fibroblast","skin","tumor","11 day"
"22028_6_299","CD45- GFP+ CD31-","1235","cancer associated fibroblast","skin","tumor","11 day"
"22028_6_3","CD45- GFP+ CD31-","1235","cancer associated fibroblast","skin","tumor","11 day"
"22028_6_301","CD45- GFP+ CD31-","1235","cancer associated fibroblast","skin","tumor","11 day"
"22028_6_303","CD45- GFP+ CD31-","1235","cancer associated fibroblast","skin","tumor","11 day"
