"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"WP3888","VEGFA-VEGFR2 Signaling Pathway",403,-0.462791684122784,-1.49292146323601,0.00104166666666667,0.0363875205254516,0.0274479301702532,2506,"tags=29%, list=20%, signal=24%","6154/9209/2185/5867/301/468/6129/5970/2746/4673/2887/6595/1466/2022/6093/4641/23291/9444/3688/57758/9261/5784/4303/3142/9734/26058/6778/4855/5170/3791/8828/5578/6461/4773/10628/154796/4792/6648/4790/1432/25759/5803/2152/355/80031/3490/5587/8665/27289/5743/23189/4736/3725/51574/5908/152273/2549/6125/7414/5906/1397/2078/9252/4846/5563/11080/6886/6386/4772/22943/2308/56999/25/2534/6546/9365/781/3690/57326/154/1847/7220/4629/1839/9759/6401/5592/51309/1003/326624/6347/596/1465/1901/1827/32/10014/22899/114789/857/91624/84952/274/6722/4208/9079/1958/5579/7111/1960/9510/4929/57381/7148/10231/8013/81575/3164"
"WP4172","PI3K-Akt Signaling Pathway",252,-0.504934506863715,-1.58824388696871,0.00108813928182807,0.0363875205254516,0.0274479301702532,2187,"tags=31%, list=18%, signal=26%","5728/9180/3716/55012/5170/57521/7424/3791/5578/3672/4254/1299/10161/3566/1436/7057/4790/1435/3574/3910/2323/10681/1026/7099/6446/4170/55970/3717/1975/7450/54331/4846/5563/284/7010/1291/4609/1288/5156/10000/3570/3690/4915/3913/3678/3563/5521/3680/90993/9586/5516/3815/1292/3082/3479/5525/80310/2260/3679/1286/627/596/1902/894/2690/10319/2258/3908/1440/2252/4804/2247/5649/2788/2791/8516/3569/7148"
"WP3932","Focal Adhesion-PI3K-Akt-mTOR-signaling pathway",243,-0.515280852572342,-1.61626208499425,0.00109409190371991,0.0363875205254516,0.0274479301702532,2187,"tags=29%, list=18%, signal=24%","5728/9180/3716/55012/5170/57521/7424/3791/4254/2034/10161/3566/8660/1436/7057/51719/23216/1435/3910/81617/1026/55970/3717/1975/7450/54331/4846/5563/2308/284/7010/1288/5156/10000/3570/3690/3913/3678/3563/5521/3680/6515/90993/9586/5516/3815/1292/3082/3479/5525/80310/2260/3679/1286/1902/2690/10319/2258/10891/3908/1440/2252/4804/64344/2247/5649/2788/6517/2791/8516/7148"
"WP2882","Nuclear Receptors Meta-Pathway",222,-0.529042570431749,-1.64826733186755,0.00111607142857143,0.0363875205254516,0.0274479301702532,1655,"tags=22%, list=13%, signal=19%","4240/8824/4780/60482/6594/5743/3725/5465/11214/34/2040/2308/4609/8850/5552/2908/2099/80315/3726/5244/6515/4616/1028/1066/1839/5243/330/3082/10486/23764/89795/6347/2258/10891/2289/1831/2042/2949/7049/5142/1958/6649/7048/3727/6517/10252/2878/5997/5166"
"WP382","MAPK Signaling Pathway",195,-0.581705105571315,-1.79816996071903,0.00112994350282486,0.0363875205254516,0.0274479301702532,1531,"tags=23%, list=12%, signal=21%","355/1845/1844/4137/3725/5908/5602/55970/5906/9252/4772/775/7043/4609/10000/781/4915/6237/408/785/783/2260/1850/1326/5532/627/3306/9020/2316/8912/2258/2252/5533/6722/4208/120892/2247/10235/2353/8605/7048/2318/3727/1843/3164"
"WP306","Focal Adhesion",173,-0.563554095940283,-1.72444812849595,0.0011441647597254,0.0363875205254516,0.0274479301702532,2687,"tags=40%, list=22%, signal=32%","5159/2268/858/387/2889/7409/9475/7423/3915/7408/6093/3688/1793/5728/394/5170/7424/83660/3791/5578/5500/3672/2909/7057/60/4659/25759/3910/23396/54776/87/3725/5908/5602/7414/5906/7450/7791/7094/1288/2534/3611/55742/5156/10000/3690/3913/3678/3680/1292/330/3082/3479/80310/3679/1286/596/894/2316/10319/3908/857/4660/10398/4638/5649/2318/5579/8516/7148"
"WP4223","Ras Signaling",142,-0.525682204537404,-1.5751526046082,0.00118906064209275,0.0363875205254516,0.0274479301702532,3203,"tags=43%, list=26%, signal=32%","5293/2113/5601/5567/5595/5869/8503/22800/6655/805/83593/64926/5321/5159/81579/387/91860/51365/2324/808/5970/801/5900/4303/8831/22808/3791/5578/11186/1436/4790/25759/9846/8036/2114/10681/5908/5602/2549/55970/5906/54331/5336/7010/25/22821/5156/10000/4915/6237/3815/2260/10156/5320/23179/4804/10235/8605/5579/2788/2791"
"WP3929","Chemokine signaling pathway",124,-0.530461119643853,-1.57190665721361,0.00120918984280532,0.0363875205254516,0.0274479301702532,1891,"tags=27%, list=15%, signal=23%","4792/7454/3702/7852/23236/4790/25759/6363/9547/10681/3579/2770/5908/55970/9844/3717/5906/108/54331/10000/6777/6366/408/2869/5332/6376/115/196883/6387/10235/5579/2788/2791/111"
"WP289","Myometrial Relaxation and Contraction Pathways",120,-0.711645314331361,-2.09559070147585,0.00121951219512195,0.0363875205254516,0.0274479301702532,1562,"tags=40%, list=13%, signal=35%","3487/2114/5587/10681/3725/55970/108/3488/54331/4846/817/5336/6546/8787/10266/5996/6262/8786/800/408/489/58/2869/23764/10268/11142/5577/1902/467/5144/115/6263/3489/196883/59/10267/70/8490/5142/2353/3708/5579/2788/2791/111/5997/3569/1264"
"WP536","Calcium Regulation in the Cardiac Cell",107,-0.660848965792059,-1.92235988951507,0.00122699386503067,0.0363875205254516,0.0274479301702532,1596,"tags=36%, list=13%, signal=32%","2767/844/5587/10681/2770/55970/108/54331/817/775/6546/8787/5996/6262/154/8786/2701/408/489/2781/2869/11142/5577/2775/115/6263/196883/309/57165/5350/8490/845/482/3708/5579/2788/2791/111/5997"
"WP706","Sudden Infant Death Syndrome (SIDS) Susceptibility Pathways",100,-0.580112717768676,-1.67392091802786,0.00123456790123457,0.0363875205254516,0.0274479301702532,1241,"tags=27%, list=10%, signal=24%","3725/34/23171/4204/6640/291/3570/4915/133522/6262/2908/6095/6844/5577/627/7259/6330/3757/10891/1390/6869/4208/1958/7434/11076/3569/5354"
